run_id,brake_profile,target_mph,encounter_distance_m,walker_speed_mps,walker_side,walker_cross,trigger_ttc_s,braking_ramp_up_per_s,brake_headway_s,weather_preset,hazard_triggered,collision_detected,outcome,min_ped_distance_m,min_ttc_s,max_jerk_mps3,mean_jerk_mps3,ego_speed_at_trigger_mph,ego_speed_at_trigger_mps,time_to_stop_s,physics_label,margin_m
run_0241,SAC_v3_1600k,28.0,120.0,1.8,left,near,1.8,4.0,5.0,ClearSunset,True,True,collision,2.688,0.414,408.16,7.17,27.92,12.48,,borderline-avoidable,0.15
run_0248,SAC_v3_1600k,28.0,120.0,1.8,left,near,2.2,4.0,2.5,ClearSunset,True,False,full_stop,5.798,1.037,408.16,9.18,27.91,12.477,1.4,borderline-avoidable,5.16
run_0249,SAC_v3_1600k,28.0,120.0,1.8,left,near,2.2,4.0,5.0,ClearSunset,True,False,full_stop,5.783,1.035,408.16,9.15,27.91,12.477,1.4,borderline-avoidable,5.16
run_0256,SAC_v3_1600k,28.0,120.0,1.8,left,near,2.6,4.0,2.5,ClearSunset,True,False,full_stop,8.355,1.397,408.16,9.42,27.91,12.475,1.34,avoidable,10.16
run_0257,SAC_v3_1600k,28.0,120.0,1.8,left,near,2.6,4.0,5.0,ClearSunset,True,False,full_stop,8.455,1.396,408.16,9.5,27.91,12.475,1.32,avoidable,10.16
run_0264,SAC_v3_1600k,28.0,120.0,1.8,left,near,3.0,4.0,2.5,ClearSunset,True,False,full_stop,14.624,2.047,408.16,9.88,27.88,12.464,1.48,avoidable,15.17
run_0265,SAC_v3_1600k,28.0,120.0,1.8,left,near,3.0,4.0,5.0,ClearSunset,True,False,full_stop,15.681,2.062,408.16,10.03,27.88,12.464,1.34,avoidable,15.17
run_0272,SAC_v3_1600k,28.0,120.0,1.8,left,near,3.5,4.0,2.5,ClearSunset,True,False,full_stop,15.691,2.194,408.16,9.8,27.87,12.46,1.52,avoidable,21.43
run_0273,SAC_v3_1600k,28.0,120.0,1.8,left,near,3.5,4.0,5.0,ClearSunset,True,False,full_stop,16.222,2.194,408.16,10.0,27.87,12.46,1.44,avoidable,21.43
run_0280,SAC_v3_1600k,28.0,120.0,1.8,left,far,1.8,4.0,2.5,ClearSunset,True,False,full_stop,2.207,0.369,408.16,8.76,27.92,12.48,1.46,borderline-avoidable,0.15
run_0281,SAC_v3_1600k,28.0,120.0,1.8,left,far,1.8,4.0,5.0,ClearSunset,True,False,full_stop,2.201,0.367,408.16,8.71,27.92,12.48,1.46,borderline-avoidable,0.15
run_0288,SAC_v3_1600k,28.0,120.0,1.8,left,far,2.2,4.0,2.5,ClearSunset,True,False,full_stop,5.856,1.038,408.16,9.18,27.91,12.477,1.4,avoidable,inf
run_0289,SAC_v3_1600k,28.0,120.0,1.8,left,far,2.2,4.0,5.0,ClearSunset,True,False,full_stop,5.842,1.037,408.16,9.15,27.91,12.477,1.4,avoidable,inf
run_0296,SAC_v3_1600k,28.0,120.0,1.8,left,far,2.6,4.0,2.5,ClearSunset,True,False,full_stop,8.435,1.397,408.16,9.42,27.91,12.475,1.34,avoidable,inf
run_0297,SAC_v3_1600k,28.0,120.0,1.8,left,far,2.6,4.0,5.0,ClearSunset,True,False,full_stop,8.532,1.396,408.16,9.51,27.91,12.475,1.32,avoidable,inf
run_0304,SAC_v3_1600k,28.0,120.0,1.8,left,far,3.0,4.0,2.5,ClearSunset,True,False,full_stop,14.665,2.047,408.16,9.88,27.88,12.464,1.48,avoidable,inf
run_0305,SAC_v3_1600k,28.0,120.0,1.8,left,far,3.0,4.0,5.0,ClearSunset,True,False,full_stop,15.702,2.062,408.16,10.03,27.88,12.464,1.34,avoidable,inf
run_0312,SAC_v3_1600k,28.0,120.0,1.8,left,far,3.5,4.0,2.5,ClearSunset,True,False,full_stop,16.72,2.194,408.16,10.05,27.87,12.46,1.42,avoidable,inf
run_0313,SAC_v3_1600k,28.0,120.0,1.8,left,far,3.5,4.0,5.0,ClearSunset,True,False,full_stop,17.066,2.194,408.16,10.1,27.87,12.46,1.36,avoidable,inf
run_0320,SAC_v3_1600k,35.0,60.0,1.8,left,near,1.8,4.0,2.5,ClearSunset,True,True,collision,2.658,0.31,408.16,15.0,34.43,15.392,,borderline-impossible,-6.81
run_0321,SAC_v3_1600k,35.0,60.0,1.8,left,near,1.8,4.0,5.0,ClearSunset,True,True,collision,2.657,0.318,408.16,15.08,34.43,15.392,,borderline-impossible,-6.81
run_0328,SAC_v3_1600k,35.0,60.0,1.8,left,near,2.2,4.0,2.5,ClearSunset,True,True,collision,2.675,0.452,408.16,14.54,34.4,15.377,,borderline-impossible,-0.55
run_0329,SAC_v3_1600k,35.0,60.0,1.8,left,near,2.2,4.0,5.0,ClearSunset,True,True,collision,2.676,0.452,408.16,14.55,34.4,15.377,,borderline-impossible,-0.55
run_0336,SAC_v3_1600k,35.0,60.0,1.8,left,near,2.6,4.0,2.5,ClearSunset,True,False,full_stop,10.139,1.561,408.16,19.33,34.28,15.324,1.76,borderline-avoidable,5.71
